field,value,status
lote,MW-BING-SEO-GEO-QUERY-URL-OPPORTUNITY-MAP-013J5,VERIFICADO PERO MEJORABLE
date,2026-07-05,VERIFICADO Y CORRECTO
mode,solo lectura,VERIFICADO Y CORRECTO
input_keywords,keywords-classified-MW-BING-WEBMASTER-SEARCH-PERFORMANCE-KEYWORDS-EXPORT-013J2-2026-07-05.csv,VERIFICADO Y CORRECTO
input_pages,pages-classified-MW-BING-WEBMASTER-SEARCH-PERFORMANCE-PAGES-EXPORT-013J3-2026-07-05.csv,VERIFICADO Y CORRECTO
input_country,country-classified-MW-BING-WEBMASTER-SEARCH-PERFORMANCE-COUNTRY-DEVICE-EXPORT-013J4-2026-07-05.csv,VERIFICADO Y CORRECTO
input_device,device-classified-MW-BING-WEBMASTER-SEARCH-PERFORMANCE-COUNTRY-DEVICE-EXPORT-013J4-2026-07-05.csv,VERIFICADO Y CORRECTO
opportunities_created,10,VERIFICADO Y CORRECTO
priority_url_queue_rows,42,VERIFICADO Y CORRECTO
top_opportunity,ES colecciones producto/color/patrón/espacio,VERIFICADO PERO MEJORABLE
method_warning,no direct keyword-url-country-device join exists in Bing exports,VERIFICADO Y CORRECTO
shopify_changed,no,VERIFICADO Y CORRECTO
bing_changed,no,VERIFICADO Y CORRECTO
indexnow_changed,no,VERIFICADO Y CORRECTO
next_recommended_lote,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,VERIFICADO PERO MEJORABLE
