"field","value","status","notes"
"lote","MW-CEO-CMO-PANEL-SPEC-014C","VERIFICADO Y CORRECTO","Panel especificado en modo documental"
"date","2026-07-05","VERIFICADO Y CORRECTO","Europe/Madrid"
"mode","solo lectura/documental","VERIFICADO Y CORRECTO","Sin cambios externos"
"documents_read","18","VERIFICADO Y CORRECTO","014B, 013J, 013E, 013I, 013C y registro"
"metrics_rows","42","VERIFICADO Y CORRECTO","CSV de métricas del panel"
"data_sources_rows","22","VERIFICADO Y CORRECTO","CSV de fuentes del panel"
"bing_search_impressions","749","VERIFICADO Y CORRECTO","Overview 013J1, periodo 2026-06-13 a 2026-07-03"
"bing_search_clicks","3","VERIFICADO Y CORRECTO","Overview 013J1"
"bing_search_ctr","0.40%","VERIFICADO Y CORRECTO","Calculado en 013J1"
"bing_keywords_rows","88","VERIFICADO Y CORRECTO","013J2"
"bing_pages_rows","49","VERIFICADO Y CORRECTO","013J3"
"bing_sitemap_status","Success","VERIFICADO Y CORRECTO","013E2; 0 errores, 0 warnings, 7.8K URLs descubiertas"
"bing_ai_citations","10","VERIFICADO Y CORRECTO","013E4/013E6"
"bing_ai_cited_urls","7","VERIFICADO Y CORRECTO","013E6"
"indexnow_visible_counter","13","VERIFICADO PERO MEJORABLE","Bing UI"
"indexnow_export_rows","3","VERIFICADO PERO MEJORABLE","013I5/013I5B"
"shopify_engineering_ticket","68731900","RIESGO CRITICO","Pendiente de respuesta/estabilidad"
"safe_next_primary","MW-ENTITY-FACTUAL-BRIEF-ES-EN-FR-DE-NL-015A","REQUIERE DECISION HUMANA","Siguiente lote documental recomendado"
"safe_next_alternative","MW-BING-SEARCH-PERFORMANCE-CONSOLIDATED-INSIGHTS-013J7","REQUIERE DECISION HUMANA","Alternativa de análisis Bing"
"shopify_changed","no","VERIFICADO Y CORRECTO",""
"bing_changed","no","VERIFICADO Y CORRECTO",""
"google_changed","no","VERIFICADO Y CORRECTO",""
"ga4_changed","no","VERIFICADO Y CORRECTO",""
"gsc_changed","no","VERIFICADO Y CORRECTO",""
"indexnow_changed","no","VERIFICADO Y CORRECTO",""
"langshop_changed","no","VERIFICADO Y CORRECTO",""
"cloudflare_changed","no","VERIFICADO Y CORRECTO",""
"final_state","VERIFICADO Y CORRECTO","VERIFICADO Y CORRECTO",""
