field,value
lote,MW-CRAWLERS-WAF-CLOUDFLARE-429-SUPPORT-EVIDENCE-013J6B
date,2026-07-05
mode,solo lectura/documental
input_public_qa,public-url-qa-final-MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6-2026-07-05.csv
input_crawler_qa,crawler-access-risk-MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6-2026-07-05.csv
browser_like_200,6
browser_like_429,36
bingbot_like_429,42
interpretation,"429 Cloudflare blocks QA; does not prove real Bingbot block or page-level SEO failure"
support_draft_created,yes
shopify_changed,no
bing_changed,no
indexnow_changed,no
cloudflare_changed,no
final_state,VERIFICADO PERO MEJORABLE
