metric,value,state
qa_url_rows,42,VERIFICADO Y CORRECTO
browser_status_200,6,VERIFICADO Y CORRECTO
browser_non_200,36,VERIFICADO Y CORRECTO
bingbot_status_200,0,VERIFICADO Y CORRECTO
bingbot_non_200,42,VERIFICADO Y CORRECTO
browser_qa_state_VERIFICADO Y CORRECTO,6,VERIFICADO Y CORRECTO
browser_qa_state_INCORRECTO,36,INCORRECTO
bingbot_state_VERIFICADO PERO MEJORABLE,42,VERIFICADO PERO MEJORABLE
missing_meta_description,36,VERIFICADO PERO MEJORABLE
canonical_mismatch,0,VERIFICADO Y CORRECTO
noindex,0,VERIFICADO Y CORRECTO
next_recommended_lote,MW-BING-SEO-GEO-PRIORITY-URL-FIX-PROPOSAL-013J7,REQUIERE DECISION HUMANA
